"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-05-23,89.8599579952478,94.9079790595433,102.255890486005,100.983953082528,90.00787,96.77669,96.74238,100.32753,113.02366,108.32164,106.40019,105.10419
1990-05-24,89.5092736293876,94.7216344562459,102.875078014665,101.330315986186,89.65765,96.59955,96.24852,100.08359,113.50249,108.56277,106.98232,105.40365
1990-05-25,87.7837564092448,93.8076807546511,105.256936261666,102.573589243033,87.93031,95.68011,94.16793,99.01393,115.72648,109.63804,109.33207,106.57313
1990-05-26,87.9037485244136,93.8710556857944,104.653760992568,102.209691306815,88.05152,95.75709,94.59296,99.24935,115.60702,109.59324,108.87837,106.36407
1990-05-27,88.487048998738,94.1819313959053,103.107849269623,101.321057256061,88.63682,96.08633,95.7581,99.87258,114.87728,109.25911,107.5755,105.73973
1990-05-28,89.290812831983,94.6082840308478,101.855067854028,100.658250955415,89.44297,96.53429,96.84585,100.45189,113.87026,108.79195,106.39144,105.16979
1990-05-29,90.2192456590598,95.0972702203564,101.602325529528,100.669980165083,90.37402,97.04778,97.36129,100.73133,112.72192,108.25501,105.86372,104.92086
1990-05-30,91.5660293641198,95.8030657504092,102.237239553925,101.343192784406,91.72416,97.78372,97.45856,100.79301,111.07368,107.47504,105.79346,104.89709
1990-05-31,93.6091095878846,96.8628611641661,103.114388124157,102.301373288357,93.77183,98.88164,97.64134,100.89964,108.60762,106.28822,105.63359,104.82966
1990-06-01,93.7738580461917,96.9484161082084,101.61280608936,101.343353571775,93.93795,98.98059,98.67361,101.4452,108.45282,106.2239,104.55427,104.306
1990-06-02,94.5655855445198,97.3560197913958,100.657370678026,100.855058699749,94.73215,99.4104,99.59192,101.92953,107.57183,105.80388,103.61852,103.85106
1990-06-03,96.0439752883256,98.1141736105663,100.167015105242,100.794247865031,96.21424,100.19948,100.45263,102.38231,105.92353,105.00465,102.7601,103.43267
1990-06-04,96.7999317204873,98.4978966981865,99.8563161901207,100.72204512879,96.97265,100.60589,100.94529,102.64575,105.12383,104.61956,102.2935,103.20958
1990-06-05,96.1113681104827,98.1456143152583,100.183963078662,100.827042572011,96.28398,100.26024,100.50713,102.43537,105.90601,105.02003,102.77494,103.46414
1990-06-06,94.4936192864465,97.3173749980429,100.777311506675,100.94638315622,94.66444,99.42859,99.56455,101.96734,107.72239,105.93194,103.77548,103.97942
1990-06-07,94.0536790981596,97.0901992091752,102.113546509442,101.765051763212,94.2248,99.20911,98.55547,101.46292,108.25954,106.20741,104.86435,104.53667
1990-06-08,92.2062299381461,96.1356612192375,104.938488361633,103.313575479237,92.37508,98.24667,96.12025,100.22163,110.41999,107.27851,107.49171,105.85807
1990-06-09,92.3430903201176,96.2058880559827,104.616555781834,103.132321681246,92.51326,98.33138,96.38661,100.37258,110.29265,107.22808,107.2331,105.74271
1990-06-10,92.6671525434635,96.3735836491071,103.95520691803,102.762532900864,92.83899,98.51566,96.92801,100.66659,109.94163,107.06884,106.66956,105.47682
1990-06-11,93.115866106042,96.6057515113736,103.09087848149,102.280420763053,93.28961,98.76596,97.6444,101.05075,109.44479,106.83828,105.91944,105.1179
1990-06-12,95.1325037040534,97.650596211725,100.301394958561,100.809372955732,95.31109,99.84727,100.13602,102.35217,107.10781,105.70901,103.25253,103.80638
1990-06-13,94.242222001352,97.1916001022454,101.008071304125,101.129751842461,94.42024,99.39202,99.37568,101.97642,108.14425,106.23168,104.07587,104.2325
1990-06-14,93.5906600997473,96.8545171474436,102.390701491343,101.940643511955,93.76854,99.06029,98.26457,101.41868,108.9266,106.62718,105.27682,104.84572
1990-06-15,93.723163140448,96.921683142643,102.518845046341,102.054059096704,93.90238,99.14215,98.25155,101.42423,108.80798,106.58037,105.32957,104.88389
1990-06-16,92.3427860183905,96.205454666198,103.10892128028,102.199164190665,92.52045,98.42386,97.41089,101.00261,110.44445,107.39312,106.26893,105.36349
1990-06-17,89.5467248543415,94.7470929108297,104.228839238368,102.427859469596,89.72008,96.94556,95.73208,100.14448,113.8225,109.0469,108.13771,106.30189
1990-06-18,88.2315925712972,94.0490080516213,104.786704886356,102.546695985041,88.40344,96.24529,94.9401,99.74235,115.53014,109.87655,109.07144,106.77289
1990-06-19,88.9447305673588,94.4274537423802,103.864578390429,102.087630422186,89.11899,96.64587,95.77401,100.19241,114.6334,109.46193,108.15224,106.33504
1990-06-20,89.8176190990697,94.8877602455131,103.88444749434,102.271384097199,89.99462,97.1317,96.09471,100.37222,113.54444,108.95371,107.8294,106.18833
1990-06-21,90.4215874279088,95.2051501386952,103.101010054876,101.876183481788,90.60082,97.4699,96.81474,100.76036,112.81707,108.6163,107.06006,105.82152
1990-06-22,87.5435138464379,93.6882326715944,105.85138684351,103.152055396983,87.71809,95.93013,94.0812,99.35002,116.44156,110.37237,110.11977,107.34562
1990-06-23,86.9586849872816,93.3737608849223,106.842445395074,103.685464258453,87.13311,95.62105,93.30605,98.9527,117.25648,110.77019,111.06668,107.81927
1990-06-24,86.4535199319954,93.1011020952319,107.585737805551,104.070362943506,86.62794,95.35478,92.71379,98.65056,117.97583,111.12176,111.8119,108.19315
1990-06-25,85.960751604198,92.8341651421336,107.902715416945,104.180218112741,86.13518,95.09454,92.37623,98.48293,118.68719,111.46873,112.26015,108.42232
1990-06-26,85.4819264325948,92.5739835578656,107.89992187577,104.0859869086,85.65638,94.84124,92.22708,98.4154,119.38781,111.8098,112.48302,108.54232
